sample	sample_type.samples
TCGA-AA-A022-01A	Primary Tumor
TCGA-NH-A6GC-01A	Primary Tumor
TCGA-AD-6895-01A	Primary Tumor
TCGA-A6-5659-01B	Primary Tumor
TCGA-A6-5662-01A	Primary Tumor
TCGA-AA-A02R-01A	Primary Tumor
TCGA-A6-2671-01A	Primary Tumor
TCGA-AA-3841-01A	Primary Tumor
TCGA-AA-3975-01A	Primary Tumor
TCGA-A6-2679-01A	Primary Tumor
TCGA-D5-6930-01A	Primary Tumor
TCGA-A6-2674-01B	Primary Tumor
TCGA-AA-3833-01A	Primary Tumor
TCGA-AA-3667-01A	Primary Tumor
TCGA-DM-A1D6-01A	Primary Tumor
TCGA-AA-A00D-01A	Primary Tumor
TCGA-CM-4747-01A	Primary Tumor
TCGA-AA-A004-01A	Primary Tumor
TCGA-CK-6748-01A	Primary Tumor
TCGA-AA-3973-01A	Primary Tumor
TCGA-A6-5657-01A	Primary Tumor
TCGA-AA-3688-01A	Primary Tumor
TCGA-AA-3544-01A	Primary Tumor
TCGA-AZ-4614-01A	Primary Tumor
TCGA-AA-A01Q-01A	Primary Tumor
TCGA-CM-4746-01A	Primary Tumor
TCGA-A6-6781-01B	Primary Tumor
TCGA-AA-3502-01A	Primary Tumor
TCGA-A6-6138-01A	Primary Tumor
TCGA-AA-3510-01A	Primary Tumor
TCGA-AA-3678-01A	Primary Tumor
TCGA-D5-6922-01A	Primary Tumor
TCGA-AA-3970-01A	Primary Tumor
TCGA-AA-A00W-01A	Primary Tumor
TCGA-DM-A28M-01A	Primary Tumor
TCGA-A6-A5ZU-01A	Primary Tumor
TCGA-AA-3977-01A	Primary Tumor
TCGA-AA-3939-01A	Primary Tumor
TCGA-AA-3521-01A	Primary Tumor
TCGA-G4-6303-01A	Primary Tumor
TCGA-AA-3994-01A	Primary Tumor
TCGA-CM-4743-01A	Primary Tumor
TCGA-AA-3522-01A	Primary Tumor
TCGA-AA-3866-01A	Primary Tumor
TCGA-AY-A8YK-01A	Primary Tumor
TCGA-AA-3496-01A	Primary Tumor
TCGA-5M-AATE-01A	Primary Tumor
TCGA-AA-A01Z-01A	Primary Tumor
TCGA-AZ-4315-01A	Primary Tumor
TCGA-G4-6311-01A	Primary Tumor
TCGA-A6-6781-01A	Primary Tumor
TCGA-D5-6533-01A	Primary Tumor
TCGA-A6-A567-01A	Primary Tumor
TCGA-AA-A029-01A	Primary Tumor
TCGA-CM-6677-01A	Primary Tumor
TCGA-AA-A02F-01A	Primary Tumor
TCGA-AA-3494-01A	Primary Tumor
TCGA-A6-5666-01A	Primary Tumor
TCGA-AZ-6599-01A	Primary Tumor
TCGA-CK-5912-01A	Primary Tumor
TCGA-CM-6679-01A	Primary Tumor
TCGA-DM-A0XD-01A	Primary Tumor
TCGA-A6-3807-01A	Primary Tumor
TCGA-G4-6294-01A	Primary Tumor
TCGA-CA-5796-01A	Primary Tumor
TCGA-CM-5864-01A	Primary Tumor
TCGA-CA-6716-01A	Primary Tumor
TCGA-D5-6926-01A	Primary Tumor
TCGA-AZ-5407-01A	Primary Tumor
TCGA-CA-5797-01A	Primary Tumor
TCGA-AA-A00L-01A	Primary Tumor
TCGA-AM-5821-01A	Primary Tumor
TCGA-AA-A017-01A	Primary Tumor
TCGA-D5-6530-01A	Primary Tumor
TCGA-CM-6165-01A	Primary Tumor
TCGA-AA-3979-01A	Primary Tumor
TCGA-QL-A97D-01A	Primary Tumor
TCGA-G4-6297-01A	Primary Tumor
TCGA-AA-3864-01A	Primary Tumor
TCGA-CK-6746-01A	Primary Tumor
TCGA-DM-A28E-01A	Primary Tumor
TCGA-A6-5656-01A	Primary Tumor
TCGA-A6-6652-01A	Primary Tumor
TCGA-AA-3693-01A	Primary Tumor
TCGA-A6-2677-01A	Primary Tumor
TCGA-CM-6164-01A	Primary Tumor
TCGA-D5-5540-01A	Primary Tumor
TCGA-CM-6166-01A	Primary Tumor
TCGA-G4-6298-01A	Primary Tumor
TCGA-4N-A93T-01A	Primary Tumor
TCGA-RU-A8FL-01A	Primary Tumor
TCGA-D5-6532-01A	Primary Tumor
TCGA-D5-6898-01A	Primary Tumor
TCGA-DM-A1D0-01A	Primary Tumor
TCGA-CM-6676-01A	Primary Tumor
TCGA-AA-A01F-01A	Primary Tumor
TCGA-NH-A8F7-01A	Primary Tumor
TCGA-A6-A56B-01A	Primary Tumor
TCGA-CK-6751-01A	Primary Tumor
TCGA-A6-3809-01B	Primary Tumor
TCGA-AA-3495-01A	Primary Tumor
TCGA-AA-A00Q-01A	Primary Tumor
TCGA-AA-A01P-01A	Primary Tumor
TCGA-AA-A02H-01A	Primary Tumor
TCGA-DM-A288-01A	Primary Tumor
TCGA-A6-2670-01A	Primary Tumor
TCGA-AA-3558-01A	Primary Tumor
TCGA-AA-3695-01A	Primary Tumor
TCGA-AA-3967-01A	Primary Tumor
TCGA-AZ-4681-01A	Primary Tumor
TCGA-NH-A50V-01B	Primary Tumor
